provider,model,random_seed,n_shot,example_strategy,expert_name,accuracy_vs_expert,kappa_vs_expert,f1_vs_expert,accuracy_vs_gt,accuracy_expert_vs_gt,n_total_test
classical,k-NN (k=3),42,5,easy,aniso_x2,0.952054794520548,0.9037845980041423,0.9518806128351545,0.8698630136986302,0.8533333333333334,146
classical,Logistic Regression,42,5,easy,aniso_x2,0.958904109589041,0.9175607001693958,0.9587878881795079,0.8767123287671232,0.8533333333333334,146
classical,SVM (RBF),42,5,easy,aniso_x2,0.958904109589041,0.9176846457432813,0.9588809352147492,0.8767123287671232,0.8533333333333334,146
classical,k-NN (k=3),42,5,hard,aniso_x2,0.4863013698630137,0.0,0.3182248595416956,0.5,0.8533333333333334,146
classical,Logistic Regression,42,5,hard,aniso_x2,0.8904109589041096,0.7798303487276155,0.8896845163968451,0.7808219178082192,0.8533333333333334,146
classical,SVM (RBF),42,5,hard,aniso_x2,0.4041095890410959,-0.21040594625500275,0.35277614171084043,0.3356164383561644,0.8533333333333334,146
classical,k-NN (k=3),42,5,mixed,aniso_x2,0.958904109589041,0.9175607001693958,0.9587878881795079,0.8698630136986302,0.8533333333333334,146
classical,Logistic Regression,42,5,mixed,aniso_x2,0.8356164383561644,0.6736822499534364,0.8325154527230204,0.8561643835616438,0.8533333333333334,146
classical,SVM (RBF),42,5,mixed,aniso_x2,0.9041095890410958,0.8086500655307994,0.9039655283297962,0.8835616438356164,0.8533333333333334,146
classical,k-NN (k=3),42,5,random,aniso_x2,0.8698630136986302,0.7388439088683865,0.869390234838276,0.9383561643835616,0.8533333333333334,146
classical,Logistic Regression,42,5,random,aniso_x2,0.8561643835616438,0.7111362351611079,0.855368584293507,0.9246575342465754,0.8533333333333334,146
classical,SVM (RBF),42,5,random,aniso_x2,0.8424657534246576,0.6833867622100698,0.8412333248681675,0.910958904109589,0.8533333333333334,146
classical,k-NN (k=5),42,10,easy,aniso_x2,0.8928571428571429,0.7849242113887751,0.8924336098215662,0.9214285714285714,0.8533333333333334,140
classical,Logistic Regression,42,10,easy,aniso_x2,0.8928571428571429,0.7849242113887751,0.8924336098215662,0.9214285714285714,0.8533333333333334,140
classical,SVM (RBF),42,10,easy,aniso_x2,0.9,0.7993447993447993,0.8996923076923078,0.9142857142857143,0.8533333333333334,140
classical,k-NN (k=5),42,10,hard,aniso_x2,0.6214285714285714,0.24685343077547706,0.6182218213020616,0.6571428571428571,0.8533333333333334,140
classical,Logistic Regression,42,10,hard,aniso_x2,1.0,1.0,1.0,0.8785714285714286,0.8533333333333334,140
classical,SVM (RBF),42,10,hard,aniso_x2,0.4857142857142857,-0.03789126853377267,0.47273819536224915,0.45,0.8533333333333334,140
classical,k-NN (k=5),42,10,mixed,aniso_x2,0.6214285714285714,0.25829668132746897,0.5642653642653642,0.6285714285714286,0.8533333333333334,140
classical,Logistic Regression,42,10,mixed,aniso_x2,0.9357142857142857,0.8715858132898492,0.9356978854606285,0.9142857142857143,0.8533333333333334,140
classical,SVM (RBF),42,10,mixed,aniso_x2,0.7571428571428571,0.5189975747776879,0.7498759453561714,0.7928571428571428,0.8533333333333334,140
classical,k-NN (k=5),42,10,random,aniso_x2,0.8642857142857143,0.7273472734727346,0.8634685370211077,0.9214285714285714,0.8533333333333334,140
classical,Logistic Regression,42,10,random,aniso_x2,0.9357142857142857,0.8712709440130773,0.9356978653530377,0.9071428571428571,0.8533333333333334,140
classical,SVM (RBF),42,10,random,aniso_x2,0.8857142857142857,0.7706797706797707,0.8853626373626373,0.9428571428571428,0.8533333333333334,140
classical,k-NN (k=5),42,20,easy,aniso_x2,0.8923076923076924,0.7837966262770254,0.8919230769230769,0.9076923076923077,0.8533333333333334,130
classical,Logistic Regression,42,20,easy,aniso_x2,0.8923076923076924,0.7835909631391201,0.891690691738436,0.9076923076923077,0.8533333333333334,130
classical,SVM (RBF),42,20,easy,aniso_x2,0.8923076923076924,0.7833849083551535,0.891405098732685,0.8923076923076924,0.8533333333333334,130
classical,k-NN (k=5),42,20,hard,aniso_x2,0.8076923076923077,0.6133714013799667,0.806347498655191,0.8,0.8533333333333334,130
classical,Logistic Regression,42,20,hard,aniso_x2,1.0,1.0,1.0,0.9,0.8533333333333334,130
classical,SVM (RBF),42,20,hard,aniso_x2,0.7615384615384615,0.518288309825484,0.755173078097762,0.7846153846153846,0.8533333333333334,130
classical,k-NN (k=5),42,20,mixed,aniso_x2,0.7846153846153846,0.5708559302051404,0.7838490731280104,0.8076923076923077,0.8533333333333334,130
classical,Logistic Regression,42,20,mixed,aniso_x2,1.0,1.0,1.0,0.8692307692307693,0.8533333333333334,130
classical,SVM (RBF),42,20,mixed,aniso_x2,0.9846153846153847,0.9692307692307692,0.9846190268065269,0.8692307692307693,0.8533333333333334,130
classical,k-NN (k=5),42,20,random,aniso_x2,0.8923076923076924,0.7844112769485904,0.8923076923076924,0.9384615384615385,0.8533333333333334,130
classical,Logistic Regression,42,20,random,aniso_x2,0.9384615384615385,0.8768064439706231,0.9384615384615385,0.9076923076923077,0.8533333333333334,130
classical,SVM (RBF),42,20,random,aniso_x2,0.8769230769230769,0.7529104300308862,0.8764835164835165,0.9384615384615385,0.8533333333333334,130
classical,k-NN (k=5),42,40,easy,aniso_x2,0.9272727272727272,0.8541597613523367,0.9272003858210754,0.8727272727272727,0.8533333333333334,110
classical,Logistic Regression,42,40,easy,aniso_x2,0.8909090909090909,0.7809492200464653,0.8906190519351037,0.8909090909090909,0.8533333333333334,110
classical,SVM (RBF),42,40,easy,aniso_x2,0.9454545454545454,0.8909090909090909,0.945472582972583,0.8545454545454545,0.8533333333333334,110
classical,k-NN (k=5),42,40,hard,aniso_x2,0.9818181818181818,0.9635399403380842,0.9818000964552689,0.9545454545454546,0.8533333333333334,110
classical,Logistic Regression,42,40,hard,aniso_x2,1.0,1.0,1.0,0.9363636363636364,0.8533333333333334,110
classical,SVM (RBF),42,40,hard,aniso_x2,0.9363636363636364,0.8719654140339208,0.9359545871942567,0.8909090909090909,0.8533333333333334,110
classical,k-NN (k=5),42,40,mixed,aniso_x2,0.8545454545454545,0.7079322933952871,0.8541587359134717,0.8272727272727273,0.8533333333333334,110
classical,Logistic Regression,42,40,mixed,aniso_x2,1.0,1.0,1.0,0.8818181818181818,0.8533333333333334,110
classical,SVM (RBF),42,40,mixed,aniso_x2,0.9454545454545454,0.8911968348170128,0.945400432900433,0.8818181818181818,0.8533333333333334,110
classical,k-NN (k=5),42,40,random,aniso_x2,0.9,0.7996025173898642,0.8999585921325051,0.9363636363636364,0.8533333333333334,110
classical,Logistic Regression,42,40,random,aniso_x2,0.9454545454545454,0.8909090909090909,0.945472582972583,0.9090909090909091,0.8533333333333334,110
classical,SVM (RBF),42,40,random,aniso_x2,0.9090909090909091,0.8176997016904209,0.9090004822763443,0.9272727272727272,0.8533333333333334,110
classical,k-NN (k=3),42,5,easy,aniso_x1,0.9657534246575342,0.9312488227538143,0.9657389099799698,0.9246575342465754,0.92,146
classical,Logistic Regression,42,5,easy,aniso_x1,1.0,1.0,1.0,0.9178082191780822,0.92,146
classical,SVM (RBF),42,5,easy,aniso_x1,0.9863013698630136,0.9724787935909519,0.9862884563730655,0.9178082191780822,0.92,146
classical,k-NN (k=3),42,5,hard,aniso_x1,0.5342465753424658,0.11119068934646392,0.42698342493589886,0.5547945205479452,0.92,146
classical,Logistic Regression,42,5,hard,aniso_x1,0.821917808219178,0.6491033462747273,0.8186707255200405,0.8287671232876712,0.92,146
classical,SVM (RBF),42,5,hard,aniso_x1,0.541095890410959,0.03815142576204522,0.44161430793904993,0.4931506849315068,0.92,146
classical,k-NN (k=3),42,5,mixed,aniso_x1,0.952054794520548,0.9036030937558951,0.9519801452268077,0.952054794520548,0.92,146
classical,Logistic Regression,42,5,mixed,aniso_x1,0.8082191780821918,0.6226693741923573,0.8039435766789175,0.821917808219178,0.92,146
classical,SVM (RBF),42,5,mixed,aniso_x1,0.9041095890410958,0.8087932647333957,0.9041095890410958,0.9452054794520548,0.92,146
classical,k-NN (k=3),42,5,random,aniso_x1,0.863013698630137,0.7226970560303894,0.8614418535197542,0.8767123287671232,0.92,146
classical,Logistic Regression,42,5,random,aniso_x1,0.9041095890410958,0.807060600339815,0.9038921915478961,0.9178082191780822,0.92,146
classical,SVM (RBF),42,5,random,aniso_x1,0.9041095890410958,0.8076416337285903,0.9041095890410958,0.9315068493150684,0.92,146
classical,k-NN (k=5),42,10,easy,aniso_x1,1.0,1.0,1.0,0.9142857142857143,0.92,140
classical,Logistic Regression,42,10,easy,aniso_x1,0.9857142857142858,0.9712879409351928,0.9856996336996335,0.9142857142857143,0.92,140
classical,SVM (RBF),42,10,easy,aniso_x1,0.9785714285714285,0.9568965517241379,0.9785351257398076,0.9071428571428571,0.92,140
classical,k-NN (k=5),42,10,hard,aniso_x1,0.6642857142857143,0.3157237936772046,0.6551594661498749,0.6428571428571429,0.92,140
classical,Logistic Regression,42,10,hard,aniso_x1,0.9714285714285714,0.942481511914544,0.9713580827067669,0.9214285714285714,0.92,140
classical,SVM (RBF),42,10,hard,aniso_x1,0.5928571428571429,0.1430412371134021,0.49474564459930315,0.5428571428571428,0.92,140
classical,k-NN (k=5),42,10,mixed,aniso_x1,0.7857142857142857,0.580335731414868,0.7783158461124563,0.7785714285714286,0.92,140
classical,Logistic Regression,42,10,mixed,aniso_x1,0.9785714285714285,0.9568965517241379,0.9785351257398076,0.9142857142857143,0.92,140
classical,SVM (RBF),42,10,mixed,aniso_x1,0.8642857142857143,0.7279050736497545,0.8643343051506317,0.8142857142857143,0.92,140
classical,k-NN (k=5),42,10,random,aniso_x1,0.9071428571428571,0.8135245901639344,0.9071000417175938,0.9357142857142857,0.92,140
classical,Logistic Regression,42,10,random,aniso_x1,0.9714285714285714,0.9426699426699426,0.9714285714285714,0.9285714285714286,0.92,140
classical,SVM (RBF),42,10,random,aniso_x1,0.9785714285714285,0.957037643207856,0.9785791008132577,0.9357142857142857,0.92,140
classical,k-NN (k=5),42,20,easy,aniso_x1,0.9615384615384616,0.9227110582639715,0.9615178804191231,0.9153846153846154,0.92,130
