problem_name,seed,n_features,feature_names,prompt_variant,fidelity_perc_vs_llm,fidelity_nnls_vs_llm,accuracy_perc_vs_true,accuracy_nnls_vs_true,llm_accuracy_vs_true,gamma_perc,n_malformed
homem_mulher,42,2,x1/x2,default,0.6285714285714286,0.6428571428571429,0.1,0.14285714285714285,0.4142857142857143,0.0,0
homem_mulher,42,3,x1/x2,default,0.6,0.5428571428571428,0.07142857142857142,0.21428571428571427,0.4142857142857143,0.0,0
homem_mulher,42,4,x1/x2,default,0.6714285714285714,0.7428571428571429,0.17142857142857143,0.44285714285714284,0.4142857142857143,0.0,0
homem_mulher,42,2,peso/altura,default,0.5857142857142857,0.5571428571428572,0.9,0.7857142857142857,0.6285714285714286,0.0,0
homem_mulher,42,3,peso/altura,default,0.5857142857142857,0.5571428571428572,0.9,0.7857142857142857,0.6285714285714286,0.0,0
homem_mulher,42,4,peso/altura,default,0.5857142857142857,0.6857142857142857,0.9,0.6857142857142857,0.6285714285714286,0.0,0
meia_lua_seed42,42,2,x1/x2,default,0.6857142857142857,0.6857142857142857,0.5904761904761905,0.5714285714285714,0.4857142857142857,0.0,0
meia_lua_seed42,42,3,x1/x2,default,0.7428571428571429,0.8285714285714286,0.45714285714285713,0.5428571428571428,0.4857142857142857,0.0,0
meia_lua_seed42,42,4,x1/x2,default,0.7523809523809524,0.7619047619047619,0.6,0.5904761904761905,0.4857142857142857,0.0,0
